Calibration_Bin,Bin_Confidence,Bin_Accuracy,Reliability_Error,Bin_Count
1,0.09413399547338486,0.0,0.09413399547338486,1
2,0.15182163814703623,0.0,0.15182163814703623,4
3,0.28167439699172975,0.6,0.5385607361793519,7
4,0.36040228977799416,0.3541666666666667,0.28206005319952965,22
5,0.4712583921058121,0.4421768707482993,0.12515967219975938,60
6,0.5473558740534649,0.6227761998350234,0.1630116387389068,115
7,0.646578409515501,0.6521825396825397,0.20358272870872227,63
8,0.742156383157571,0.655,0.2951648608454067,27
9,0.8410222381353378,0.88125,0.15137916207313537,20
10,0.9291416803995768,1.0,0.07085831960042317,5
