Feature,Importance_Mean,Importance_STD,Importance_CV,Fold_Rank_Consistency,Governance_Status,Retention_Decision
Jenis_Fa_Ruang_Kelas,0.07913840734868863,0.10762701820766063,1.3599846372122382,13.630148655864042,Dominant Driver,Retain - Dominant
Angkatan_2024,0.04584744937382704,0.07102401874287523,1.5491378410991987,5.804759951560278,Dominant Driver,Retain - Dominant
Angkatan_2022,0.04388042452498906,0.058772725180774726,1.3393836959645817,14.004421070640856,Dominant Driver,Retain - Dominant
Tempat_Tinggal_Bersama Saudara,0.04263759768460017,0.08623490379906909,2.0225085014631436,15.09430671604679,Dominant Driver,Retain - Dominant
Duk_Akademik_Keluarga,0.04078796735092104,0.06143956434807171,1.5063159146783112,13.783357805010809,Regular Feature,Retain - Regular
Pengaruh_Ekonomi_Keluarga,0.04060024246988307,0.0511694530637694,1.26032382938911,10.321959946776444,Regular Feature,Retain - Regular
Wellbeing_Score,0.039845839738818944,0.10517873654068587,2.6396416095158304,13.666782810191737,Latent Core,Retain - Latent
Pengaruh_Fisik_Belajar,0.03762060189345329,0.08527747303952651,2.2667758820298527,8.230604907469266,Regular Feature,Retain - Regular
Pekerjaan_Ayah_Pendidik,0.037596288437469226,0.06638070933035446,1.7656186844283834,9.716456340123381,Regular Feature,Retain - Regular
Jenis_Ke_Kompetisi_&_Akademik,0.03736930542768454,0.06965753517345197,1.8640307700727865,15.48639956311897,Regular Feature,Retain - Regular
Kelengkapan_Fasilitas,0.03719005383566244,0.0885615969863606,2.381324785860803,12.704329970525794,Regular Feature,Retain - Regular
Akses_Kesehatan,0.03443783536878641,0.06255975588081221,1.8165995397467636,13.845404945151952,Regular Feature,Retain - Regular
Frekuensi_Olahraga,0.03153658499440283,0.032181189104126436,1.0204398830703454,8.273883178843104,Regular Feature,Retain - Regular
Uang_Saku,0.03135894310653813,0.053503454686227074,1.706162561169734,7.615773105863909,Regular Feature,Retain - Regular
Status_Bekerja,0.030457653785551906,0.05082871190170318,1.6688321516680522,15.792704765477122,Regular Feature,Retain - Regular
