Fold,Threshold,Calibration_Method,Near_Threshold_Ratio,Reliability_Error,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Brier,Entropy,Entropy_STD,High_Entropy_Ratio,Probability_Mean,Probability_STD,Probability_IQR,Mean_Confidence,Low_Confidence_Ratio,High_Confidence_Ratio
1,0.48,none,0.3181818181818182,0.14384641566059805,0.6818181818181818,0.825,0.6111111111111112,0.5757575757575757,0.6068376068376069,0.7137330419838159,0.38005847503304596,0.6111111111111112,0.22935986518859863,0.9677932262420654,0.06653802841901779,0.9090909090909091,0.5633013248443604,0.08188942819833755,0.0690801590681076,0.5733027458190918,0.6818181818181818,0.0
2,0.52,none,0.13636363636363635,0.2649252912537618,0.6818181818181818,0.675,0.6794871794871795,0.6757894736842105,0.7692307692307693,0.8629948268106161,0.3544587784792833,0.6794871794871795,0.20474256575107574,0.7230972051620483,0.24123835563659668,0.36363636363636365,0.5710428357124329,0.2816181480884552,0.49874554574489594,0.7549602389335632,0.13636363636363635,0.45454545454545453
3,0.6,none,0.2727272727272727,0.2253294316205112,0.6363636363636364,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6581196581196581,0.805659072609537,0.24786324786324787,0.6239316239316239,0.2334846556186676,0.8579433560371399,0.16663867235183716,0.5909090909090909,0.6394514441490173,0.16046153008937836,0.21234048902988434,0.6777293682098389,0.18181818181818182,0.13636363636363635
4,0.5,none,1.0,0.11888918706348965,0.6190476190476191,0.6136363636363636,0.6201923076923077,0.6111111111111112,0.528846153846154,0.6098639016774287,0.2337367475021143,0.6201923076923077,0.24979111552238464,0.9999181032180786,8.80283405422233e-05,1.0,0.500158429145813,0.005328874569386244,0.007476329803466797,0.504352331161499,1.0,0.0
5,0.46,none,0.19047619047619047,0.0639126499493917,0.6666666666666666,0.825,0.5625,0.505050505050505,0.576923076923077,0.7073322228299603,0.2850438562747845,0.5625,0.23580586910247803,0.9836543202400208,0.018816275522112846,1.0,0.5551349520683289,0.05074624344706535,0.050010621547698975,0.5631289482116699,0.6666666666666666,0.0
6,0.48,none,0.13636363636363635,0.24894203516570004,0.7272727272727273,0.7529411764705882,0.6837606837606838,0.6857142857142857,0.6752136752136753,0.7277084027084026,0.4311874002772672,0.6837606837606838,0.20633254945278168,0.8787211775779724,0.1469583511352539,0.6363636363636364,0.5806666016578674,0.18015895783901215,0.20633888989686966,0.6652467250823975,0.22727272727272727,0.09090909090909091
7,0.46,none,0.2727272727272727,0.12163125520402734,0.7272727272727273,0.7529411764705882,0.6837606837606838,0.6857142857142857,0.717948717948718,0.8329408336761277,0.4311874002772672,0.6837606837606838,0.20475931465625763,0.9098569750785828,0.15501591563224792,0.8181818181818182,0.5598592162132263,0.15791724622249603,0.1546306014060974,0.6240225434303284,0.45454545454545453,0.13636363636363635
8,0.56,none,0.13636363636363635,0.24266530166972766,0.6363636363636364,0.6952380952380952,0.6752136752136753,0.6333333333333333,0.6324786324786325,0.6979031202715413,0.369910174006524,0.6752136752136753,0.22877684235572815,0.9195005893707275,0.10178482532501221,0.8181818181818182,0.5183646082878113,0.16178810596466064,0.21271277964115143,0.6328334212303162,0.45454545454545453,0.045454545454545456
9,0.46,none,0.09523809523809523,0.13703727367378418,0.7619047619047619,0.775,0.7115384615384616,0.7214854111405835,0.6730769230769231,0.7793144889298733,0.4823819106188661,0.7115384615384616,0.20106646418571472,0.8735677599906921,0.12963008880615234,0.7142857142857143,0.597984254360199,0.1774461269378662,0.23361587524414062,0.6792548298835754,0.14285714285714285,0.09523809523809523
10,0.52,none,0.2857142857142857,0.11603059938975742,0.6190476190476191,0.6388888888888888,0.6442307692307692,0.6181818181818182,0.6442307692307693,0.7438069409223256,0.28306925853614895,0.6442307692307692,0.23709635436534882,0.9510784149169922,0.05460929498076439,0.9523809523809523,0.5030170679092407,0.12848640978336334,0.22406497597694397,0.6056473851203918,0.42857142857142855,0.0
